name,ra_deg,dec_deg,theta_E_pub,q_pub,survey,src_table
G4B_00182,150.68032,2.58104,0.0,0.0,LRGDEFL2B,tierA|vd=254+-39|z=0.521|ACSWFC|2028s|P10092
G4B_00183,150.00328,2.40753,0.0,0.0,LRGDEFL2B,tierA|vd=252+-24|z=0.349|ACSWFC|2028s|P9822
G4B_00184,149.85844,2.59192,0.0,0.0,LRGDEFL2B,tierA|vd=250+-28|z=0.358|ACSWFC|2028s|P9822
G4B_00185,18.80935,-1.44234,0.0,0.0,LRGDEFL2B,tierA|vd=285+-40|z=0.482|ACSWFC|1980s|P12975
G4B_00186,27.50357,27.42673,0.0,0.0,LRGDEFL2B,tierA|vd=282+-22|z=0.306|WFC3UVIS|1980s|P--
G4B_00187,39.86709,-1.53803,0.0,0.0,LRGDEFL2B,tierA|vd=274+-30|z=0.423|ACSWFC|1978s|P13459
G4B_00188,225.83193,3.89289,0.0,0.0,LRGDEFL2B,tierA|vd=312+-30|z=0.453|WFC3UVIS|1976s|P--
G4B_00189,232.79416,34.24028,0.0,0.0,LRGDEFL2B,tierA|vd=444+-58|z=0.335|WFC3UVIS|1964s|P--
G4B_00190,232.79612,34.24123,0.0,0.0,LRGDEFL2B,tierA|vd=316+-48|z=0.329|WFC3UVIS|1964s|P--
G4B_00191,218.85106,33.09297,0.0,0.0,LRGDEFL2B,tierA|vd=311+-13|z=0.352|ACSWFC|1960s|P10890
G4B_00192,219.36132,34.27178,0.0,0.0,LRGDEFL2B,tierA|vd=292+-57|z=0.398|ACSWFC|1960s|P10890
G4B_00193,155.89089,42.18068,0.0,0.0,LRGDEFL2B,tierA|vd=264+-16|z=0.264|ACSWFC|1957s|P15930
G4B_00194,183.07920,27.56463,0.0,0.0,LRGDEFL2B,tierA|vd=308+-22|z=0.358|ACSWFC|1934s|P15959
G4B_00195,183.07701,27.54865,0.0,0.0,LRGDEFL2B,tierA|vd=290+-22|z=0.351|ACSWFC|1934s|P15959
G4B_00196,211.84037,55.08464,0.0,0.0,LRGDEFL2B,tierA|vd=395+-29|z=0.327|ACSWFC|1930s|P--
G4B_00197,165.21705,10.74483,0.0,0.0,LRGDEFL2B,tierA|vd=251+-23|z=0.442|WFC3UVIS|1912s|P13755
G4B_00198,8.41337,2.72254,0.0,0.0,LRGDEFL2B,tierA|vd=326+-60|z=0.470|WFC3UVIS|1900s|P14170
G4B_00199,8.39717,2.71723,0.0,0.0,LRGDEFL2B,tierA|vd=251+-25|z=0.478|WFC3UVIS|1900s|P14170
G4B_00200,149.48362,28.86169,0.0,0.0,LRGDEFL2B,tierA|vd=284+-45|z=0.517|WFC3UVIS|1800s|P11905
